TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
6,F,0,3,1,1,0,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,369.9,387.1,438.3,360.2,1,1.0,100.0,120.0,100.0,80.0,0.0,400.0,E,C,D,B,4,C,A,B,D,A,C,B,A,A,B,B,A,A,B,A,A,E,A,B,B
3,M,0,3,1,1,1,1,,0,,,,,,,,1200401,12,AC,0,1,1,0,,1192.0,1202.0,,,555.5,549.1,,1,1.0,160.0,120.0,160.0,200.0,100.0,740.0,E,F,E,A,2,C,A,B,B,A,A,B,A,A,B,A,A,A,B,A,A,A,A,A,B
7,M,1,2,1,1,5,1,,0,,,,,,,,1200013,12,AC,0,0,0,0,,,,,,,,,0,,,,,,,,B,B,A,A,3,B,A,B,C,B,A,B,B,B,A,A,A,A,B,A,A,C,A,B,B
7,F,1,3,1,1,5,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,B,E,A,B,3,E,A,B,D,B,A,B,A,A,A,A,A,A,B,A,A,D,A,A,B
6,F,1,3,2,1,1,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,331.8,476.9,454.5,342.6,0,1.0,80.0,80.0,80.0,80.0,40.0,360.0,H,B,C,B,2,B,A,B,D,A,A,B,A,B,A,A,A,A,B,A,A,C,A,A,B
8,F,1,2,1,1,7,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,596.2,691.9,647.1,669.0,1,1.0,120.0,200.0,120.0,120.0,80.0,640.0,E,E,B,B,5,C,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,E,A,B,B
3,F,1,1,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,444.4,369.4,446.7,497.9,1,1.0,120.0,60.0,80.0,120.0,40.0,420.0,D,D,C,B,3,A,A,B,A,A,B,B,B,A,B,A,A,A,B,A,A,D,A,A,B
3,F,1,3,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,467.5,540.3,576.7,536.2,1,1.0,120.0,120.0,120.0,140.0,120.0,620.0,C,B,C,A,4,B,A,A,D,A,A,B,B,B,A,A,A,A,B,A,A,D,A,A,B
4,F,1,3,1,1,1,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,402.0,471.4,521.9,411.7,1,1.0,120.0,40.0,40.0,100.0,40.0,340.0,D,B,C,B,3,B,A,B,C,B,A,B,A,A,A,A,A,A,B,A,A,D,A,A,A
11,M,0,3,1,1,10,1,,0,,,,,,,,1200203,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,B,F,B,B,2,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,B
